name,location,address,maps_url
Banque Misr Zamalek Club Branch - بنك مصر فرع نادي الزمالك,"(30.0603796, 31.2036723)","3663+5F3, Gazirat Mit Oqbah, El Omraniya","https://www.google.com/maps/search/?api=1&query=30.0603796,31.2036723"
Banque Misr,"(30.0621535, 31.2716459)","376C+VM6, El-Abaseya, Al Ganzouri, Daher","https://www.google.com/maps/search/?api=1&query=30.0621535,31.2716459"
Banque Misr,"(30.04696509999999, 31.267787)","طريق Salah Salem St, El-Gamaleya, El Gamaliya","https://www.google.com/maps/search/?api=1&query=30.04696509999999,31.267787"
Banque Misr For Islamic Transactions,"(30.0523945, 31.2441921)","108 Mohammed Farid, وسط البلد، Al Azbakeya","https://www.google.com/maps/search/?api=1&query=30.0523945,31.2441921"
Banque Misr,"(30.0505965, 31.2323261)","362J+6WP, Sharkas, Bulaq","https://www.google.com/maps/search/?api=1&query=30.0505965,31.2323261"
Banque Misr,"(30.0472626, 31.2545156)","412 Branshed from Port Saeed, El-Darb El-Ahmar, Al-Darb Al-Ahmar","https://www.google.com/maps/search/?api=1&query=30.0472626,31.2545156"
Banque Misr,"(30.06249549999999, 31.2073376)","28 Atbra, Madinet Al Eelam, Agouza","https://www.google.com/maps/search/?api=1&query=30.06249549999999,31.2073376"
Banque Misr,"(30.0615996, 31.219217)",6 Hassan Sabry Street، El Gezira,"https://www.google.com/maps/search/?api=1&query=30.0615996,31.219217"
Banque Misr,"(30.0541001, 31.2190386)","3639+JHX, Hassan Sabry St, Al Gabalayah, Zamalek","https://www.google.com/maps/search/?api=1&query=30.0541001,31.2190386"
Banque Misr,"(30.0515502, 31.2006657)","17 White Nile, Ad Doqi, Dokki","https://www.google.com/maps/search/?api=1&query=30.0515502,31.2006657"
Banque Misr,"(30.0474999, 31.244923)","16 El-Sayed Mohammed Taher, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0474999,31.244923"
"Bank Misr, Abo El Feda","(30.068484, 31.2176689)","27 Abou El Feda, Street، Zamalek","https://www.google.com/maps/search/?api=1&query=30.068484,31.2176689"
Banque Misr Mohandseen branch,"(30.0656848, 31.1986022)","33-35 Moustafa Roshdi, Mit Akaba, Agouza","https://www.google.com/maps/search/?api=1&query=30.0656848,31.1986022"
bank misr,"(30.0610159, 31.2176763)","3 El-Mansour Mohammed, Abu Al Feda, Zamalek","https://www.google.com/maps/search/?api=1&query=30.0610159,31.2176763"
Banque Misr,"(30.0467303, 31.2622664)","1 Al Mashhad Al Husseini, El-Gamaleya, El Gamaliya","https://www.google.com/maps/search/?api=1&query=30.0467303,31.2622664"
